model_id,author,downloads,likes,last_modified,library_name,pipeline_tag,tags,l1_card,l2_main_config,l3_separate_config,l4_diffusers_config,l5_readme,l6_tags,l7_model_id,l8_model_type,l9_safetensors_index,base_model_final,is_base_model_valid,is_multimodal,dataset_deps,extract_source,status,error_msg
sentence-transformers/all-MiniLM-L6-v2,未知,206994378,4610,未知,sentence-transformers,sentence-similarity,"sentence-transformers,pytorch,tf,rust,onnx,safetensors,openvino,bert,feature-extraction,sentence-similarity,transformers,en,dataset:s2orc,dataset:flax-sentence-embeddings/stackexchange_xml,dataset:ms_marco,dataset:gooaq,dataset:yahoo_answers_topics,dataset:code_search_net,dataset:search_qa,dataset:eli5,dataset:snli,dataset:multi_nli,dataset:wikihow,dataset:natural_questions,dataset:trivia_qa,dataset:embedding-data/sentence-compression,dataset:embedding-data/flickr30k-captions,dataset:embedding-data/altlex,dataset:embedding-data/simple-wiki,dataset:embedding-data/QQP,dataset:embedding-data/SPECTER,dataset:embedding-data/PAQ_pairs,dataset:embedding-data/WikiAnswers,arxiv:1904.06472,arxiv:2102.07033,arxiv:2104.08727,arxiv:1704.05179,arxiv:1810.09305,license:apache-2.0,eval-results,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us",无,nreimers/MiniLM-L6-H384-uncased,无,无,无,无,无,bert-base-uncased,无,nreimers/MiniLM-L6-H384-uncased,True,False,"['s2orc', 'flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'code_search_net', 'search_qa', 'eli5', 'snli', 'multi_nli', 'wikihow', 'natural_questions', 'trivia_qa', 'embedding-data/sentence-compression', 'embedding-data/flickr30k-captions', 'embedding-data/altlex', 'embedding-data/simple-wiki', 'embedding-data/QQP', 'embedding-data/SPECTER', 'embedding-data/PAQ_pairs', 'embedding-data/WikiAnswers']",主配置文件,success,
google-bert/bert-base-uncased,未知,72315930,2590,未知,transformers,fill-mask,"transformers,pytorch,tf,jax,rust,coreml,onnx,safetensors,bert,fill-mask,exbert,en,dataset:bookcorpus,dataset:wikipedia,arxiv:1810.04805,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,bert-base-uncased,bert-base-uncased,无,bert-base-uncased,False,False,"['bookcorpus', 'wikipedia']",模型ID语义解析,success,
google/electra-base-discriminator,未知,50904691,86,未知,transformers,未知,"transformers,pytorch,tf,jax,rust,electra,pretraining,en,arxiv:1406.2661,license:apache-2.0,endpoints_compatible,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
Falconsai/nsfw_image_detection,未知,41155377,1018,未知,transformers,image-classification,"transformers,pytorch,safetensors,vit,image-classification,arxiv:2010.11929,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,Falconsai/nsfw_image_detection,无,无,无,无,无,google/vit-base-patch16-224,无,Falconsai/nsfw_image_detection,True,False,[],主配置文件,success,
sentence-transformers/all-mpnet-base-v2,未知,28344265,1262,未知,sentence-transformers,sentence-similarity,"sentence-transformers,pytorch,onnx,safetensors,openvino,mpnet,fill-mask,feature-extraction,sentence-similarity,transformers,text-embeddings-inference,en,dataset:s2orc,dataset:flax-sentence-embeddings/stackexchange_xml,dataset:ms_marco,dataset:gooaq,dataset:yahoo_answers_topics,dataset:code_search_net,dataset:search_qa,dataset:eli5,dataset:snli,dataset:multi_nli,dataset:wikihow,dataset:natural_questions,dataset:trivia_qa,dataset:embedding-data/sentence-compression,dataset:embedding-data/flickr30k-captions,dataset:embedding-data/altlex,dataset:embedding-data/simple-wiki,dataset:embedding-data/QQP,dataset:embedding-data/SPECTER,dataset:embedding-data/PAQ_pairs,dataset:embedding-data/WikiAnswers,arxiv:1904.06472,arxiv:2102.07033,arxiv:2104.08727,arxiv:1704.05179,arxiv:1810.09305,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,microsoft/mpnet-base,无,无,无,无,无,无,无,microsoft/mpnet-base,True,False,"['s2orc', 'flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'code_search_net', 'search_qa', 'eli5', 'snli', 'multi_nli', 'wikihow', 'natural_questions', 'trivia_qa', 'embedding-data/sentence-compression', 'embedding-data/flickr30k-captions', 'embedding-data/altlex', 'embedding-data/simple-wiki', 'embedding-data/QQP', 'embedding-data/SPECTER', 'embedding-data/PAQ_pairs', 'embedding-data/WikiAnswers']",主配置文件,success,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,未知,26182211,1169,未知,sentence-transformers,sentence-similarity,"sentence-transformers,pytorch,tf,onnx,safetensors,openvino,bert,feature-extraction,sentence-similarity,transformers,multilingual,ar,bg,ca,cs,da,de,el,en,es,et,fa,fi,fr,gl,gu,he,hi,hr,hu,hy,id,it,ja,ka,ko,ku,lt,lv,mk,mn,mr,ms,my,nb,nl,pl,pt,ro,ru,sk,sl,sq,sr,sv,th,tr,uk,ur,vi,arxiv:1908.10084,license:apache-2.0,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us",无,old_models/paraphrase-multilingual-MiniLM-L12-v2/0_Transformer,无,无,无,无,无,bert-base-uncased,无,old_models/paraphrase-multilingual-MiniLM-L12-v2/0_Transformer,False,False,[],主配置文件,success,
laion/clap-htsat-fused,未知,26054290,65,未知,transformers,audio-classification,"transformers,pytorch,safetensors,clap,feature-extraction,zero-shot audio classification,zero-shot audio retrieval,audio-classification,en,arxiv:2211.06687,license:apache-2.0,endpoints_compatible,region:us",无,无,无,无,无,无,无,无,无,多模态内部组件,False,True,[],多模态配置识别,success,
openai/clip-vit-large-patch14,未知,22482658,1974,未知,transformers,zero-shot-image-classification,"transformers,pytorch,tf,jax,safetensors,clip,zero-shot-image-classification,vision,arxiv:2103.00020,arxiv:1908.04913,endpoints_compatible,region:us",无,clip-vit-large-patch14/,无,无,无,无,google/vit-base-patch16-224,openai/clip-vit-base-patch32,无,clip-vit-large-patch14/,False,False,[],主配置文件,success,
timm/mobilenetv3_small_100.lamb_in1k,未知,21095652,54,未知,timm,image-classification,"timm,pytorch,safetensors,image-classification,transformers,dataset:imagenet-1k,arxiv:2110.00476,arxiv:1905.02244,license:apache-2.0,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,['imagenet-1k'],官方基座模型,success,
FacebookAI/xlm-roberta-base,未知,20575069,798,未知,transformers,fill-mask,"transformers,pytorch,tf,jax,onnx,safetensors,xlm-roberta,fill-mask,exbert,multilingual,af,am,ar,as,az,be,bg,bn,br,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,he,hi,hr,hu,hy,id,is,it,ja,jv,ka,kk,km,kn,ko,ku,ky,la,lo,lt,lv,mg,mk,ml,mn,mr,ms,my,ne,nl,no,om,or,pa,pl,ps,pt,ro,ru,sa,sd,si,sk,sl,so,sq,sr,su,sv,sw,ta,te,th,tl,tr,ug,uk,ur,uz,vi,xh,yi,zh,arxiv:1911.02116,license:mit,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,bert-base-uncased,无,无,bert-base-uncased,True,False,[],模型ID语义解析,success,
openai/clip-vit-base-patch32,未知,20300278,889,未知,transformers,zero-shot-image-classification,"transformers,pytorch,tf,jax,clip,zero-shot-image-classification,vision,arxiv:2103.00020,arxiv:1908.04913,endpoints_compatible,region:us",无,openai/clip-vit-base-patch32,无,无,无,无,google/vit-base-patch16-224,openai/clip-vit-base-patch32,无,openai/clip-vit-base-patch32,True,False,[],主配置文件,success,
Qwen/Qwen2.5-7B-Instruct,未知,19626645,1155,未知,transformers,text-generation,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-7B,base_model:finetune:Qwen/Qwen2.5-7B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",Qwen/Qwen2.5-7B,无,无,无,无,Qwen/Qwen2.5-7B,Qwen/Qwen-7B,Qwen/Qwen2-7B,无,Qwen/Qwen2.5-7B,True,False,[],模型卡片显式标注,success,
Bingsu/adetailer,未知,18758645,671,未知,ultralytics,未知,"ultralytics,pytorch,dataset:wider_face,dataset:skytnt/anime-segmentation,doi:10.57967/hf/3633,license:apache-2.0,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,"['wider_face', 'skytnt/anime-segmentation']",官方基座模型,success,
FacebookAI/roberta-large,未知,18705267,269,未知,transformers,fill-mask,"transformers,pytorch,tf,jax,onnx,safetensors,roberta,fill-mask,exbert,en,dataset:bookcorpus,dataset:wikipedia,arxiv:1907.11692,arxiv:1806.02847,license:mit,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,bert-base-uncased,roberta-base,无,bert-base-uncased,True,False,"['bookcorpus', 'wikipedia']",模型ID语义解析,success,
BAAI/bge-m3,未知,15614645,2851,未知,sentence-transformers,sentence-similarity,"sentence-transformers,pytorch,onnx,xlm-roberta,feature-extraction,sentence-similarity,arxiv:2402.03216,arxiv:2004.04906,arxiv:2106.14807,arxiv:2107.05720,arxiv:2004.12832,license:mit,eval-results,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
cross-encoder/ms-marco-MiniLM-L6-v2,未知,14309926,202,未知,sentence-transformers,text-ranking,"sentence-transformers,pytorch,jax,onnx,safetensors,openvino,bert,text-classification,transformers,text-ranking,en,dataset:sentence-transformers/msmarco,base_model:cross-encoder/ms-marco-MiniLM-L12-v2,base_model:quantized:cross-encoder/ms-marco-MiniLM-L12-v2,license:apache-2.0,text-embeddings-inference,endpoints_compatible,region:us",cross-encoder/ms-marco-MiniLM-L12-v2,cross-encoder/ms-marco-MiniLM-L-12-v2,无,无,无,cross-encoder/ms-marco-MiniLM-L12-v2,无,bert-base-uncased,无,cross-encoder/ms-marco-MiniLM-L12-v2,True,False,['sentence-transformers/msmarco'],模型卡片显式标注,success,
FacebookAI/roberta-base,未知,14258535,574,未知,transformers,fill-mask,"transformers,pytorch,tf,jax,rust,safetensors,roberta,fill-mask,exbert,en,dataset:bookcorpus,dataset:wikipedia,arxiv:1907.11692,arxiv:1806.02847,license:mit,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,bert-base-uncased,roberta-base,无,bert-base-uncased,True,False,"['bookcorpus', 'wikipedia']",模型ID语义解析,success,
Qwen/Qwen3-0.6B,未知,13820887,1155,未知,transformers,text-generation,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2505.09388,base_model:Qwen/Qwen3-0.6B-Base,base_model:finetune:Qwen/Qwen3-0.6B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",Qwen/Qwen3-0.6B-Base,无,无,无,无,Qwen/Qwen3-0.6B-Base,Qwen/Qwen-7B,Qwen/Qwen3-7B,无,Qwen/Qwen3-0.6B-Base,True,False,[],模型卡片显式标注,success,
pyannote/wespeaker-voxceleb-resnet34-LM,未知,13538198,107,未知,pyannote-audio,未知,"pyannote-audio,pytorch,pyannote,pyannote-audio-model,wespeaker,audio,voice,speech,speaker,speaker-recognition,speaker-verification,speaker-identification,speaker-embedding,dataset:voxceleb,license:cc-by-4.0,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,['voxceleb'],官方基座模型,success,
amazon/chronos-2,未知,13261329,205,未知,chronos-forecasting,time-series-forecasting,"chronos-forecasting,safetensors,t5,time series,forecasting,foundation models,pretrained models,time-series-forecasting,dataset:autogluon/chronos_datasets,dataset:Salesforce/GiftEvalPretrain,arxiv:2403.07815,arxiv:2510.15821,license:apache-2.0,region:us",无,无,无,无,无,无,无,t5-base,无,t5-base,True,False,"['autogluon/chronos_datasets', 'Salesforce/GiftEvalPretrain']",模型类型映射,success,
pyannote/segmentation-3.0,未知,12954078,868,未知,pyannote-audio,voice-activity-detection,"pyannote-audio,pytorch,pyannote,pyannote-audio-model,audio,voice,speech,speaker,speaker-diarization,speaker-change-detection,speaker-segmentation,voice-activity-detection,overlapped-speech-detection,resegmentation,license:mit,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
omni-research/Tarsier2-Recap-7b,未知,12617714,23,未知,未知,未知,"safetensors,video LLM,arxiv:2501.07888,license:apache-2.0,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
colbert-ir/colbertv2.0,未知,12582615,315,未知,transformers,未知,"transformers,pytorch,onnx,safetensors,bert,ColBERT,en,arxiv:2004.12832,arxiv:2007.00814,arxiv:2101.00436,arxiv:2112.01488,arxiv:2205.09707,license:mit,endpoints_compatible,region:us",无,/future/u/okhattab/root/unit/experiments/2021.10/none/kld.v3.nway32.l2.ib/checkpoints/colbert-150000/,无,无,无,无,bert-base-uncased,bert-base-uncased,无,/future/u/okhattab/root/unit/experiments/2021.10/none/kld.v3.nway32.l2.ib/checkpoints/colbert-150000/,False,False,[],主配置文件,success,
pyannote/speaker-diarization-3.1,未知,11959539,1683,未知,pyannote-audio,automatic-speech-recognition,"pyannote-audio,pyannote,pyannote-audio-pipeline,audio,voice,speech,speaker,speaker-diarization,speaker-change-detection,voice-activity-detection,overlapped-speech-detection,automatic-speech-recognition,arxiv:2111.14448,arxiv:2012.01477,license:mit,endpoints_compatible,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
openai-community/gpt2,未知,11832115,3138,未知,transformers,text-generation,"transformers,pytorch,tf,jax,tflite,rust,onnx,safetensors,gpt2,text-generation,exbert,en,doi:10.57967/hf/0039,license:mit,text-generation-inference,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,gpt2,gpt2,无,gpt2,True,False,[],模型ID语义解析,success,
autogluon/chronos-bolt-small,未知,11086801,24,未知,未知,time-series-forecasting,"safetensors,t5,time series,forecasting,pretrained models,foundation models,time series foundation models,time-series,time-series-forecasting,arxiv:1910.10683,arxiv:2403.07815,license:apache-2.0,region:us",无,autogluon/chronos-bolt-small,无,无,无,无,无,t5-base,无,autogluon/chronos-bolt-small,True,False,[],主配置文件,success,
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,未知,10270000,636,未知,diffusion-single-file,未知,"diffusion-single-file,comfyui,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
BAAI/bge-small-en-v1.5,未知,10260932,427,未知,sentence-transformers,feature-extraction,"sentence-transformers,pytorch,onnx,safetensors,bert,feature-extraction,sentence-similarity,transformers,mteb,en,arxiv:2401.03462,arxiv:2312.15503,arxiv:2311.13534,arxiv:2310.07554,arxiv:2309.07597,license:mit,model-index,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us",无,/root/.cache/torch/sentence_transformers/BAAI_bge-small-en/,无,无,无,无,无,bert-base-uncased,无,/root/.cache/torch/sentence_transformers/BAAI_bge-small-en/,False,False,[],主配置文件,success,
nomic-ai/nomic-embed-text-v1.5,未知,10253345,781,未知,sentence-transformers,sentence-similarity,"sentence-transformers,onnx,safetensors,nomic_bert,feature-extraction,sentence-similarity,mteb,transformers,transformers.js,custom_code,en,arxiv:2402.01613,arxiv:2205.13147,license:apache-2.0,model-index,eval-results,text-embeddings-inference,endpoints_compatible,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
Kijai/WanVideo_comfy,未知,9826258,2198,未知,diffusion-single-file,未知,"diffusion-single-file,comfyui,base_model:Wan-AI/Wan2.1-VACE-1.3B,base_model:finetune:Wan-AI/Wan2.1-VACE-1.3B,region:us",Wan-AI/Wan2.1-VACE-14B,无,无,无,无,Wan-AI/Wan2.1-VACE-1.3B,无,无,无,Wan-AI/Wan2.1-VACE-14B,True,False,[],模型卡片显式标注,success,
Qwen/Qwen3-8B,未知,9232475,1005,未知,transformers,text-generation,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,base_model:Qwen/Qwen3-8B-Base,base_model:finetune:Qwen/Qwen3-8B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",Qwen/Qwen3-8B-Base,无,无,无,无,Qwen/Qwen3-8B-Base,Qwen/Qwen-7B,Qwen/Qwen3-7B,无,Qwen/Qwen3-8B-Base,True,False,[],模型卡片显式标注,success,
hexgrad/Kokoro-82M,未知,9227678,5843,未知,未知,text-to-speech,"text-to-speech,en,arxiv:2306.07691,arxiv:2203.02395,base_model:yl4579/StyleTTS2-LJSpeech,base_model:finetune:yl4579/StyleTTS2-LJSpeech,doi:10.57967/hf/4329,license:apache-2.0,region:us",yl4579/StyleTTS2-LJSpeech,无,无,无,无,yl4579/StyleTTS2-LJSpeech,无,无,无,yl4579/StyleTTS2-LJSpeech,True,False,[],模型卡片显式标注,success,
autogluon/chronos-2,未知,8921772,4,未知,chronos-forecasting,time-series-forecasting,"chronos-forecasting,safetensors,t5,time series,forecasting,foundation models,pretrained models,time-series-forecasting,dataset:autogluon/chronos_datasets,dataset:Salesforce/GiftEvalPretrain,arxiv:2403.07815,arxiv:2510.15821,license:apache-2.0,region:us",无,无,无,无,无,无,无,t5-base,无,t5-base,True,False,"['autogluon/chronos_datasets', 'Salesforce/GiftEvalPretrain']",模型类型映射,success,
Qwen/Qwen2.5-1.5B-Instruct,未知,8870436,647,未知,transformers,text-generation,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2407.10671,base_model:Qwen/Qwen2.5-1.5B,base_model:finetune:Qwen/Qwen2.5-1.5B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",Qwen/Qwen2.5-1.5B,无,无,无,无,Qwen/Qwen2.5-1.5B,Qwen/Qwen-7B,Qwen/Qwen2-7B,无,Qwen/Qwen2.5-1.5B,True,False,[],模型卡片显式标注,success,
Qwen/Qwen2.5-3B-Instruct,未知,8452798,422,未知,transformers,text-generation,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2407.10671,base_model:Qwen/Qwen2.5-3B,base_model:finetune:Qwen/Qwen2.5-3B,license:other,text-generation-inference,endpoints_compatible,deploy:azure,region:us",Qwen/Qwen2.5-3B,无,无,无,无,Qwen/Qwen2.5-3B,Qwen/Qwen-7B,Qwen/Qwen2-7B,无,Qwen/Qwen2.5-3B,True,False,[],模型卡片显式标注,success,
meta-llama/Llama-3.1-8B-Instruct,未知,8274422,5602,未知,transformers,text-generation,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,base_model:meta-llama/Llama-3.1-8B,base_model:finetune:meta-llama/Llama-3.1-8B,license:llama3.1,eval-results,text-generation-inference,endpoints_compatible,region:us",meta-llama/Meta-Llama-3.1-8B,无,无,无,无,meta-llama/Llama-3.1-8B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-hf,无,meta-llama/Meta-Llama-3.1-8B,True,False,[],模型卡片显式标注,success,
lpiccinelli/unidepth-v2-vitl14,未知,7870932,4,未知,UniDepth,未知,"UniDepth,pytorch,safetensors,model_hub_mixin,monocular-metric-depth-estimation,pytorch_model_hub_mixin,region:us",无,无,无,无,无,无,google/vit-base-patch16-224,无,无,google/vit-base-patch16-224,True,False,[],模型ID语义解析,success,
Qwen/Qwen3-VL-8B-Instruct,未知,7671408,835,未知,transformers,image-text-to-text,"transformers,safetensors,qwen3_vl,image-text-to-text,conversational,arxiv:2505.09388,arxiv:2502.13923,arxiv:2409.12191,arxiv:2308.12966,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,Qwen/Qwen-7B,无,无,Qwen/Qwen-7B,True,True,[],模型ID语义解析,success,
facebook/contriever,未知,7400103,73,未知,transformers,未知,"transformers,pytorch,bert,arxiv:2112.09118,endpoints_compatible,region:us",无,无,无,无,无,无,无,bert-base-uncased,无,bert-base-uncased,True,False,[],模型类型映射,success,
apple/DFN5B-CLIP-ViT-H-14-378,未知,7343259,104,未知,open_clip,未知,"open_clip,pytorch,clip,arxiv:2309.17425,license:apple-amlr,region:us",无,无,无,无,无,无,google/vit-base-patch16-224,openai/clip-vit-base-patch32,无,google/vit-base-patch16-224,True,True,[],模型ID语义解析,success,
facebook/opt-125m,未知,7291015,235,未知,transformers,text-generation,"transformers,pytorch,tf,jax,opt,text-generation,en,arxiv:2205.01068,arxiv:2005.14165,license:other,text-generation-inference,deploy:azure,region:us",无,facebook/opt-125m,无,无,无,无,无,无,无,facebook/opt-125m,True,False,[],主配置文件,success,
distilbert/distilbert-base-uncased,未知,6994733,847,未知,transformers,fill-mask,"transformers,pytorch,tf,jax,rust,safetensors,distilbert,fill-mask,exbert,en,dataset:bookcorpus,dataset:wikipedia,arxiv:1910.01108,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,bert-base-uncased,无,无,bert-base-uncased,True,False,"['bookcorpus', 'wikipedia']",模型ID语义解析,success,
amazon/chronos-bolt-base,未知,6964293,78,未知,chronos-forecasting,time-series-forecasting,"chronos-forecasting,safetensors,t5,time series,forecasting,pretrained models,foundation models,time series foundation models,time-series,time-series-forecasting,arxiv:1910.10683,arxiv:2403.07815,license:apache-2.0,region:us",无,autogluon/chronos-bolt-base,无,无,无,无,无,t5-base,无,autogluon/chronos-bolt-base,True,False,[],主配置文件,success,
FacebookAI/xlm-roberta-large,未知,6886175,498,未知,transformers,fill-mask,"transformers,pytorch,tf,jax,onnx,safetensors,xlm-roberta,fill-mask,exbert,multilingual,af,am,ar,as,az,be,bg,bn,br,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,he,hi,hr,hu,hy,id,is,it,ja,jv,ka,kk,km,kn,ko,ku,ky,la,lo,lt,lv,mg,mk,ml,mn,mr,ms,my,ne,nl,no,om,or,pa,pl,ps,pt,ro,ru,sa,sd,si,sk,sl,so,sq,sr,su,sv,sw,ta,te,th,tl,tr,ug,uk,ur,uz,vi,xh,yi,zh,arxiv:1911.02116,license:mit,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,bert-base-uncased,无,无,bert-base-uncased,True,False,[],模型ID语义解析,success,
openai/gpt-oss-20b,未知,6841500,4477,未知,transformers,text-generation,"transformers,safetensors,gpt_oss,text-generation,vllm,conversational,arxiv:2508.10925,license:apache-2.0,eval-results,endpoints_compatible,8-bit,mxfp4,deploy:azure,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
dima806/fairface_age_image_detection,未知,6818224,63,未知,transformers,image-classification,"transformers,safetensors,vit,image-classification,dataset:nateraw/fairface,base_model:google/vit-base-patch16-224-in21k,base_model:finetune:google/vit-base-patch16-224-in21k,license:apache-2.0,endpoints_compatible,region:us",google/vit-base-patch16-224-in21k,google/vit-base-patch16-224-in21k,无,无,无,google/vit-base-patch16-224-in21k,无,google/vit-base-patch16-224,无,google/vit-base-patch16-224-in21k,True,False,['nateraw/fairface'],模型卡片显式标注,success,
openai/clip-vit-large-patch14-336,未知,6812883,290,未知,transformers,zero-shot-image-classification,"transformers,pytorch,tf,clip,zero-shot-image-classification,generated_from_keras_callback,endpoints_compatible,region:us",无,openai/clip-vit-large-patch14-336,无,无,无,无,google/vit-base-patch16-224,openai/clip-vit-base-patch32,无,openai/clip-vit-large-patch14-336,True,False,[],主配置文件,success,
Qwen/Qwen3-1.7B,未知,6806823,430,未知,transformers,text-generation,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2505.09388,base_model:Qwen/Qwen3-1.7B-Base,base_model:finetune:Qwen/Qwen3-1.7B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",Qwen/Qwen3-1.7B-Base,无,无,无,无,Qwen/Qwen3-1.7B-Base,Qwen/Qwen-7B,Qwen/Qwen3-7B,无,Qwen/Qwen3-1.7B-Base,True,False,[],模型卡片显式标注,success,
Qwen/Qwen2.5-0.5B-Instruct,未知,6650158,486,未知,transformers,text-generation,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2407.10671,base_model:Qwen/Qwen2.5-0.5B,base_model:finetune:Qwen/Qwen2.5-0.5B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",Qwen/Qwen2.5-0.5B,无,无,无,无,Qwen/Qwen2.5-0.5B,Qwen/Qwen-7B,Qwen/Qwen2-7B,无,Qwen/Qwen2.5-0.5B,True,False,[],模型卡片显式标注,success,
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,未知,6589430,4,未知,transformers,text-generation,"transformers,safetensors,qwen2,text-generation,trl,conversational,text-generation-inference,endpoints_compatible,region:us",无,无,无,无,无,无,Qwen/Qwen-7B,Qwen/Qwen2-7B,无,Qwen/Qwen-7B,True,False,[],模型ID语义解析,success,
meta-llama/Llama-3.2-3B-Instruct,未知,6577230,2060,未知,transformers,text-generation,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,arxiv:2405.16406,license:llama3.2,text-generation-inference,endpoints_compatible,region:us",无,无,无,无,无,无,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-hf,无,meta-llama/Llama-2-7b-hf,True,False,[],模型ID语义解析,success,
