model_id,author,downloads,likes,last_modified,library_name,pipeline_tag,tags,l1_card,l2_main_config,l3_separate_config,l4_diffusers_config,l5_readme,l6_tags,l7_model_id,l8_model_type,l9_safetensors_index,base_model_final,is_base_model_valid,is_multimodal,dataset_deps,extract_source,status,error_msg
jonatasgrosman/wav2vec2-large-xlsr-53-russian,未知,6337350,64,未知,transformers,automatic-speech-recognition,"transformers,pytorch,jax,wav2vec2,automatic-speech-recognition,audio,hf-asr-leaderboard,mozilla-foundation/common_voice_6_0,robust-speech-event,ru,speech,xlsr-fine-tuning-week,dataset:common_voice,dataset:mozilla-foundation/common_voice_6_0,doi:10.57967/hf/3571,license:apache-2.0,model-index,endpoints_compatible,deploy:azure,region:us",无,facebook/wav2vec2-large-xlsr-53,无,无,无,无,facebook/wav2vec2-base,facebook/wav2vec2-base,无,facebook/wav2vec2-large-xlsr-53,True,False,"['common_voice', 'mozilla-foundation/common_voice_6_0']",主配置文件,success,
coqui/XTTS-v2,未知,6334588,3440,未知,coqui,text-to-speech,"coqui,text-to-speech,license:other,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
Qwen/Qwen3-4B,未知,6329184,576,未知,transformers,text-generation,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,base_model:Qwen/Qwen3-4B-Base,base_model:finetune:Qwen/Qwen3-4B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",Qwen/Qwen3-4B-Base,无,无,无,无,Qwen/Qwen3-4B-Base,Qwen/Qwen-7B,Qwen/Qwen3-7B,无,Qwen/Qwen3-4B-Base,True,False,[],模型卡片显式标注,success,
answerdotai/ModernBERT-base,未知,6116772,1011,未知,transformers,fill-mask,"transformers,pytorch,onnx,safetensors,modernbert,fill-mask,masked-lm,long-context,en,arxiv:2412.13663,license:apache-2.0,deploy:azure,region:us",无,无,无,无,无,无,bert-base-uncased,无,无,bert-base-uncased,True,False,[],模型ID语义解析,success,
BAAI/bge-large-en-v1.5,未知,6106467,635,未知,sentence-transformers,feature-extraction,"sentence-transformers,pytorch,onnx,safetensors,bert,feature-extraction,sentence-similarity,transformers,mteb,en,arxiv:2401.03462,arxiv:2312.15503,arxiv:2311.13534,arxiv:2310.07554,arxiv:2309.07597,license:mit,model-index,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us",无,/root/.cache/torch/sentence_transformers/BAAI_bge-large-en/,无,无,无,无,无,bert-base-uncased,无,/root/.cache/torch/sentence_transformers/BAAI_bge-large-en/,False,False,[],主配置文件,success,
Qwen/Qwen3-4B-Instruct-2507,未知,6057427,778,未知,transformers,text-generation,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2505.09388,license:apache-2.0,eval-results,text-generation-inference,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,Qwen/Qwen-7B,Qwen/Qwen3-7B,无,Qwen/Qwen-7B,True,False,[],模型ID语义解析,success,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,未知,5969671,458,未知,sentence-transformers,sentence-similarity,"sentence-transformers,pytorch,tf,onnx,safetensors,openvino,xlm-roberta,feature-extraction,sentence-similarity,transformers,text-embeddings-inference,multilingual,ar,bg,ca,cs,da,de,el,en,es,et,fa,fi,fr,gl,gu,he,hi,hr,hu,hy,id,it,ja,ka,ko,ku,lt,lv,mk,mn,mr,ms,my,nb,nl,pl,pt,ro,ru,sk,sl,sq,sr,sv,th,tr,uk,ur,vi,arxiv:1908.10084,license:apache-2.0,eval-results,endpoints_compatible,region:us",无,old_models/paraphrase-multilingual-mpnet-base-v2/0_Transformer,无,无,无,无,无,无,无,old_models/paraphrase-multilingual-mpnet-base-v2/0_Transformer,False,False,[],主配置文件,success,
argmaxinc/whisperkit-coreml,未知,5651140,165,未知,whisperkit,automatic-speech-recognition,"whisperkit,coreml,whisper,asr,quantized,automatic-speech-recognition,region:us",无,无,无,无,无,无,openai/whisper-small,无,无,openai/whisper-small,True,False,[],模型ID语义解析,success,
jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,未知,5648649,38,未知,transformers,automatic-speech-recognition,"transformers,pytorch,jax,wav2vec2,automatic-speech-recognition,audio,hf-asr-leaderboard,mozilla-foundation/common_voice_6_0,pt,robust-speech-event,speech,xlsr-fine-tuning-week,dataset:common_voice,dataset:mozilla-foundation/common_voice_6_0,doi:10.57967/hf/3572,license:apache-2.0,model-index,endpoints_compatible,deploy:azure,region:us",无,facebook/wav2vec2-large-xlsr-53,无,无,无,无,facebook/wav2vec2-base,facebook/wav2vec2-base,无,facebook/wav2vec2-large-xlsr-53,True,False,"['common_voice', 'mozilla-foundation/common_voice_6_0']",主配置文件,success,
BAAI/bge-reranker-v2-m3,未知,5485106,930,未知,sentence-transformers,text-classification,"sentence-transformers,safetensors,xlm-roberta,text-classification,transformers,text-embeddings-inference,multilingual,arxiv:2312.15503,arxiv:2402.03216,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,BAAI/bge-m3,无,无,无,无,无,无,无,BAAI/bge-m3,True,False,[],主配置文件,success,
BAAI/bge-base-en-v1.5,未知,5277894,407,未知,sentence-transformers,feature-extraction,"sentence-transformers,pytorch,onnx,safetensors,bert,feature-extraction,sentence-similarity,transformers,mteb,en,arxiv:2401.03462,arxiv:2312.15503,arxiv:2311.13534,arxiv:2310.07554,arxiv:2309.07597,license:mit,model-index,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us",无,/root/.cache/torch/sentence_transformers/BAAI_bge-base-en/,无,无,无,无,无,bert-base-uncased,无,/root/.cache/torch/sentence_transformers/BAAI_bge-base-en/,False,False,[],主配置文件,success,
Qwen/Qwen3-Embedding-0.6B,未知,5258492,945,未知,sentence-transformers,feature-extraction,"sentence-transformers,safetensors,qwen3,text-generation,transformers,sentence-similarity,feature-extraction,text-embeddings-inference,arxiv:2506.05176,base_model:Qwen/Qwen3-0.6B-Base,base_model:finetune:Qwen/Qwen3-0.6B-Base,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",Qwen/Qwen3-0.6B-Base,无,无,无,无,Qwen/Qwen3-0.6B-Base,Qwen/Qwen-7B,Qwen/Qwen3-7B,无,Qwen/Qwen3-0.6B-Base,True,False,[],模型卡片显式标注,success,
timm/convnextv2_nano.fcmae_ft_in22k_in1k,未知,5214091,3,未知,timm,image-classification,"timm,pytorch,safetensors,image-classification,transformers,dataset:imagenet-1k,arxiv:2301.00808,license:cc-by-nc-4.0,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,"['imagenet-1k', 'imagenet-1k']",官方基座模型,success,
Comfy-Org/Wan_2.1_ComfyUI_repackaged,未知,5186307,867,未知,diffusion-single-file,未知,"diffusion-single-file,comfyui,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
google-bert/bert-base-multilingual-uncased,未知,5109976,153,未知,transformers,fill-mask,"transformers,pytorch,tf,jax,safetensors,bert,fill-mask,multilingual,af,sq,ar,an,hy,ast,az,ba,eu,bar,be,bn,inc,bs,br,bg,my,ca,ceb,ce,zh,cv,hr,cs,da,nl,en,et,fi,fr,gl,ka,de,el,gu,ht,he,hi,hu,is,io,id,ga,it,ja,jv,kn,kk,ky,ko,la,lv,lt,roa,nds,lm,mk,mg,ms,ml,mr,min,ne,new,nb,nn,oc,fa,pms,pl,pt,pa,ro,ru,sco,sr,scn,sk,sl,aze,es,su,sw,sv,tl,tg,ta,tt,te,tr,uk,ud,uz,vi,vo,war,cy,fry,pnb,yo,dataset:wikipedia,arxiv:1810.04805,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,bert-base-uncased,bert-base-uncased,无,bert-base-uncased,True,False,['wikipedia'],模型ID语义解析,success,
ProsusAI/finbert,未知,5017800,1119,未知,transformers,text-classification,"transformers,pytorch,tf,jax,bert,text-classification,financial-sentiment-analysis,sentiment-analysis,en,arxiv:1908.10063,endpoints_compatible,deploy:azure,region:us",无,/home/ubuntu/finbert/models/language_model/finbertTRC2,无,无,无,无,bert-base-uncased,bert-base-uncased,无,/home/ubuntu/finbert/models/language_model/finbertTRC2,False,False,[],主配置文件,success,
openai/whisper-large-v3-turbo,未知,4993604,2866,未知,transformers,automatic-speech-recognition,"transformers,safetensors,whisper,automatic-speech-recognition,audio,en,zh,de,es,ru,ko,fr,ja,pt,tr,pl,ca,nl,ar,sv,it,id,hi,fi,vi,he,uk,el,ms,cs,ro,da,hu,ta,no,th,ur,hr,bg,lt,la,mi,ml,cy,sk,te,fa,lv,bn,sr,az,sl,kn,et,mk,br,eu,is,hy,ne,mn,bs,kk,sq,sw,gl,mr,pa,si,km,sn,yo,so,af,oc,ka,be,tg,sd,gu,am,yi,lo,uz,fo,ht,ps,tk,nn,mt,sa,lb,my,bo,tl,mg,as,tt,haw,ln,ha,ba,jw,su,arxiv:2212.04356,base_model:openai/whisper-large-v3,base_model:finetune:openai/whisper-large-v3,license:mit,endpoints_compatible,deploy:azure,region:us",openai/whisper-large-v3,/raid/yoach/tmp_whisper_turbo,无,无,无,openai/whisper-large-v3,openai/whisper-small,openai/whisper-small,无,openai/whisper-large-v3,True,False,[],模型卡片显式标注,success,
openai/whisper-large-v3,未知,4972713,5506,未知,transformers,automatic-speech-recognition,"transformers,pytorch,jax,safetensors,whisper,automatic-speech-recognition,audio,hf-asr-leaderboard,en,zh,de,es,ru,ko,fr,ja,pt,tr,pl,ca,nl,ar,sv,it,id,hi,fi,vi,he,uk,el,ms,cs,ro,da,hu,ta,no,th,ur,hr,bg,lt,la,mi,ml,cy,sk,te,fa,lv,bn,sr,az,sl,kn,et,mk,br,eu,is,hy,ne,mn,bs,kk,sq,sw,gl,mr,pa,si,km,sn,yo,so,af,oc,ka,be,tg,sd,gu,am,yi,lo,uz,fo,ht,ps,tk,nn,mt,sa,lb,my,bo,tl,mg,as,tt,haw,ln,ha,ba,jw,su,arxiv:2212.04356,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,openai/whisper-large-v3,无,无,无,无,openai/whisper-small,openai/whisper-small,无,openai/whisper-large-v3,True,False,[],主配置文件,success,
Marqo/nsfw-image-detection-384,未知,4966902,40,未知,timm,image-classification,"timm,safetensors,image-classification,license:apache-2.0,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
vikhyatk/moondream2,未知,4946337,1397,未知,transformers,image-text-to-text,"transformers,safetensors,moondream1,text-generation,image-text-to-text,custom_code,doi:10.57967/hf/6762,license:apache-2.0,endpoints_compatible,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
Qwen/Qwen2.5-VL-7B-Instruct,未知,4849586,1475,未知,transformers,image-text-to-text,"transformers,safetensors,qwen2_5_vl,image-text-to-text,multimodal,conversational,en,arxiv:2309.00071,arxiv:2409.12191,arxiv:2308.12966,license:apache-2.0,eval-results,text-generation-inference,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,Qwen/Qwen-7B,无,无,Qwen/Qwen-7B,True,True,[],模型ID语义解析,success,
iitolstykh/mivolo_v2,未知,4776685,24,未知,mivolo,未知,"mivolo,safetensors,custom_code,arxiv:2307.04616,arxiv:2403.02302,license:apache-2.0,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
intfloat/multilingual-e5-large,未知,4743448,1159,未知,sentence-transformers,feature-extraction,"sentence-transformers,pytorch,onnx,safetensors,openvino,xlm-roberta,mteb,Sentence Transformers,sentence-similarity,feature-extraction,multilingual,af,am,ar,as,az,be,bg,bn,br,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,he,hi,hr,hu,hy,id,is,it,ja,jv,ka,kk,km,kn,ko,ku,ky,la,lo,lt,lv,mg,mk,ml,mn,mr,ms,my,ne,nl,no,om,or,pa,pl,ps,pt,ro,ru,sa,sd,si,sk,sl,so,sq,sr,su,sv,sw,ta,te,th,tl,tr,ug,uk,ur,uz,vi,xh,yi,zh,arxiv:2402.05672,arxiv:2108.08787,arxiv:2104.08663,arxiv:2210.07316,license:mit,model-index,eval-results,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us",无,tmp/,无,无,无,无,无,无,无,tmp/,False,False,[],主配置文件,success,
Qwen/Qwen3-VL-30B-A3B-Instruct,未知,4706693,553,未知,transformers,image-text-to-text,"transformers,safetensors,qwen3_vl_moe,image-text-to-text,conversational,arxiv:2505.09388,arxiv:2502.13923,arxiv:2409.12191,arxiv:2308.12966,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,Qwen/Qwen-7B,无,无,Qwen/Qwen-7B,True,True,[],模型ID语义解析,success,
Qwen/Qwen2.5-VL-3B-Instruct,未知,4690692,629,未知,transformers,image-text-to-text,"transformers,safetensors,qwen2_5_vl,image-text-to-text,multimodal,conversational,en,arxiv:2309.00071,arxiv:2409.12191,arxiv:2308.12966,eval-results,text-generation-inference,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,Qwen/Qwen-7B,无,无,Qwen/Qwen-7B,True,True,[],模型ID语义解析,success,
jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn,未知,4682924,127,未知,transformers,automatic-speech-recognition,"transformers,pytorch,jax,wav2vec2,automatic-speech-recognition,audio,speech,xlsr-fine-tuning-week,zh,dataset:common_voice,doi:10.57967/hf/3570,license:apache-2.0,model-index,endpoints_compatible,deploy:azure,region:us",无,facebook/wav2vec2-large-xlsr-53,无,无,无,无,facebook/wav2vec2-base,facebook/wav2vec2-base,无,facebook/wav2vec2-large-xlsr-53,True,False,['common_voice'],主配置文件,success,
dphn/dolphin-2.9.1-yi-1.5-34b,未知,4560186,58,未知,transformers,text-generation,"transformers,safetensors,llama,text-generation,generated_from_trainer,axolotl,conversational,dataset:cognitivecomputations/Dolphin-2.9,dataset:teknium/OpenHermes-2.5,dataset:m-a-p/CodeFeedback-Filtered-Instruction,dataset:cognitivecomputations/dolphin-coder,dataset:cognitivecomputations/samantha-data,dataset:microsoft/orca-math-word-problems-200k,dataset:Locutusque/function-calling-chatml,dataset:internlm/Agent-FLAN,base_model:01-ai/Yi-1.5-34B,base_model:finetune:01-ai/Yi-1.5-34B,license:apache-2.0,text-generation-inference,endpoints_compatible,region:us",01-ai/Yi-1.5-34B,01-ai/Yi-1.5-34B,无,无,无,01-ai/Yi-1.5-34B,microsoft/phi-2,meta-llama/Llama-2-7b-hf,无,01-ai/Yi-1.5-34B,True,False,"['cognitivecomputations/Dolphin-2.9', 'teknium/OpenHermes-2.5', 'm-a-p/CodeFeedback-Filtered-Instruction', 'cognitivecomputations/dolphin-coder', 'cognitivecomputations/samantha-data', 'microsoft/orca-math-word-problems-200k', 'Locutusque/function-calling-chatml', 'internlm/Agent-FLAN']",模型卡片显式标注,success,
openai/gpt-oss-120b,未知,4491676,4610,未知,transformers,text-generation,"transformers,safetensors,gpt_oss,text-generation,vllm,conversational,arxiv:2508.10925,license:apache-2.0,eval-results,endpoints_compatible,8-bit,mxfp4,deploy:azure,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
sentence-transformers/paraphrase-MiniLM-L6-v2,未知,4475347,145,未知,sentence-transformers,sentence-similarity,"sentence-transformers,pytorch,tf,onnx,safetensors,openvino,bert,feature-extraction,sentence-similarity,transformers,arxiv:1908.10084,license:apache-2.0,text-embeddings-inference,endpoints_compatible,region:us",无,old_models/paraphrase-MiniLM-L6-v2/0_Transformer,无,无,无,无,无,bert-base-uncased,无,old_models/paraphrase-MiniLM-L6-v2/0_Transformer,False,False,[],主配置文件,success,
google-bert/bert-base-cased,未知,4455781,352,未知,transformers,fill-mask,"transformers,pytorch,tf,jax,safetensors,bert,fill-mask,exbert,en,dataset:bookcorpus,dataset:wikipedia,arxiv:1810.04805,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,bert-base-uncased,bert-base-uncased,无,bert-base-uncased,True,False,"['bookcorpus', 'wikipedia']",模型ID语义解析,success,
amazon/chronos-t5-base,未知,4452318,41,未知,chronos-forecasting,time-series-forecasting,"chronos-forecasting,safetensors,t5,time series,forecasting,pretrained models,foundation models,time series foundation models,time-series,time-series-forecasting,arxiv:2403.07815,arxiv:1910.10683,license:apache-2.0,region:us",无,无,无,无,无,无,t5-base,t5-base,无,t5-base,True,False,[],模型ID语义解析,success,
zai-org/GLM-5-FP8,未知,4317898,153,未知,transformers,text-generation,"transformers,safetensors,glm_moe_dsa,text-generation,conversational,en,zh,arxiv:2602.15763,license:mit,endpoints_compatible,fp8,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
google-bert/bert-base-multilingual-cased,未知,4299301,580,未知,transformers,fill-mask,"transformers,pytorch,tf,jax,safetensors,bert,fill-mask,multilingual,af,sq,ar,an,hy,ast,az,ba,eu,bar,be,bn,inc,bs,br,bg,my,ca,ceb,ce,zh,cv,hr,cs,da,nl,en,et,fi,fr,gl,ka,de,el,gu,ht,he,hi,hu,is,io,id,ga,it,ja,jv,kn,kk,ky,ko,la,lv,lt,roa,nds,lm,mk,mg,ms,ml,mr,mn,min,ne,new,nb,nn,oc,fa,pms,pl,pt,pa,ro,ru,sco,sr,scn,sk,sl,aze,es,su,sw,sv,tl,tg,th,ta,tt,te,tr,uk,ud,uz,vi,vo,war,cy,fry,pnb,yo,dataset:wikipedia,arxiv:1810.04805,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,bert-base-uncased,bert-base-uncased,无,bert-base-uncased,True,False,['wikipedia'],模型ID语义解析,success,
meta-llama/Llama-3.2-1B-Instruct,未知,4253857,1333,未知,transformers,text-generation,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,arxiv:2405.16406,license:llama3.2,text-generation-inference,endpoints_compatible,region:us",无,无,无,无,无,无,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-hf,无,meta-llama/Llama-2-7b-hf,True,False,[],模型ID语义解析,success,
google/vit-base-patch16-224,未知,4239923,944,未知,transformers,image-classification,"transformers,pytorch,tf,jax,safetensors,vit,image-classification,vision,dataset:imagenet-1k,dataset:imagenet-21k,arxiv:2010.11929,arxiv:2006.03677,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,google/vit-base-patch16-224,无,无,无,无,google/vit-base-patch16-224,google/vit-base-patch16-224,无,google/vit-base-patch16-224,True,False,"['imagenet-1k', 'imagenet-21k']",主配置文件,success,
Qwen/Qwen3-32B,未知,4175452,672,未知,transformers,text-generation,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,Qwen/Qwen-7B,Qwen/Qwen3-7B,无,Qwen/Qwen-7B,True,False,[],模型ID语义解析,success,
MahmoudAshraf/mms-300m-1130-forced-aligner,未知,4123953,80,未知,transformers,automatic-speech-recognition,"transformers,pytorch,safetensors,wav2vec2,automatic-speech-recognition,mms,audio,voice,speech,forced-alignment,ab,af,ak,am,ar,as,av,ay,az,ba,bm,be,bn,bi,bo,sh,br,bg,ca,cs,ce,cv,ku,cy,da,de,dv,dz,el,en,eo,et,eu,ee,fo,fa,fj,fi,fr,fy,ff,ga,gl,gn,gu,zh,ht,ha,he,hi,hu,hy,ig,ia,ms,is,it,jv,ja,kn,ka,kk,kr,km,ki,rw,ky,ko,kv,lo,la,lv,ln,lt,lb,lg,mh,ml,mr,mk,mg,mt,mn,mi,my,nl,no,ne,ny,oc,om,or,os,pa,pl,pt,ps,qu,ro,rn,ru,sg,sk,sl,sm,sn,sd,so,es,sq,su,sv,sw,ta,tt,te,tg,tl,th,ti,ts,tr,uk,vi,wo,xh,yo,zu,za,license:cc-by-nc-4.0,endpoints_compatible,deploy:azure,region:us",无,facebook/mms-300m,无,无,无,无,无,facebook/wav2vec2-base,无,facebook/mms-300m,True,False,[],主配置文件,success,
sentence-transformers/all-MiniLM-L12-v2,未知,4105602,299,未知,sentence-transformers,sentence-similarity,"sentence-transformers,pytorch,rust,onnx,safetensors,openvino,bert,feature-extraction,sentence-similarity,transformers,en,dataset:s2orc,dataset:flax-sentence-embeddings/stackexchange_xml,dataset:ms_marco,dataset:gooaq,dataset:yahoo_answers_topics,dataset:code_search_net,dataset:search_qa,dataset:eli5,dataset:snli,dataset:multi_nli,dataset:wikihow,dataset:natural_questions,dataset:trivia_qa,dataset:embedding-data/sentence-compression,dataset:embedding-data/flickr30k-captions,dataset:embedding-data/altlex,dataset:embedding-data/simple-wiki,dataset:embedding-data/QQP,dataset:embedding-data/SPECTER,dataset:embedding-data/PAQ_pairs,dataset:embedding-data/WikiAnswers,arxiv:1904.06472,arxiv:2102.07033,arxiv:2104.08727,arxiv:1704.05179,arxiv:1810.09305,license:apache-2.0,eval-results,text-embeddings-inference,endpoints_compatible,region:us",无,microsoft/MiniLM-L12-H384-uncased,无,无,无,无,无,bert-base-uncased,无,microsoft/MiniLM-L12-H384-uncased,True,False,"['s2orc', 'flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'code_search_net', 'search_qa', 'eli5', 'snli', 'multi_nli', 'wikihow', 'natural_questions', 'trivia_qa', 'embedding-data/sentence-compression', 'embedding-data/flickr30k-captions', 'embedding-data/altlex', 'embedding-data/simple-wiki', 'embedding-data/QQP', 'embedding-data/SPECTER', 'embedding-data/PAQ_pairs', 'embedding-data/WikiAnswers']",主配置文件,success,
llava-hf/llava-1.5-7b-hf,未知,4064028,350,未知,transformers,image-text-to-text,"transformers,safetensors,llava,image-text-to-text,vision,conversational,en,dataset:liuhaotian/LLaVA-Instruct-150K,license:llama2,endpoints_compatible,region:us",无,无,无,无,无,无,无,无,无,多模态内部组件,False,True,['liuhaotian/LLaVA-Instruct-150K'],多模态配置识别,success,
sentence-transformers/multi-qa-mpnet-base-dot-v1,未知,4027268,191,未知,sentence-transformers,sentence-similarity,"sentence-transformers,pytorch,onnx,safetensors,openvino,mpnet,fill-mask,feature-extraction,sentence-similarity,transformers,text-embeddings-inference,en,dataset:flax-sentence-embeddings/stackexchange_xml,dataset:ms_marco,dataset:gooaq,dataset:yahoo_answers_topics,dataset:search_qa,dataset:eli5,dataset:natural_questions,dataset:trivia_qa,dataset:embedding-data/QQP,dataset:embedding-data/PAQ_pairs,dataset:embedding-data/Amazon-QA,dataset:embedding-data/WikiAnswers,endpoints_compatible,deploy:azure,region:us",无,microsoft/mpnet-base,无,无,无,无,无,无,无,microsoft/mpnet-base,True,False,"['flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'search_qa', 'eli5', 'natural_questions', 'trivia_qa', 'embedding-data/QQP', 'embedding-data/PAQ_pairs', 'embedding-data/Amazon-QA', 'embedding-data/WikiAnswers']",主配置文件,success,
intfloat/multilingual-e5-small,未知,3937304,291,未知,sentence-transformers,sentence-similarity,"sentence-transformers,pytorch,onnx,safetensors,openvino,bert,mteb,Sentence Transformers,sentence-similarity,multilingual,af,am,ar,as,az,be,bg,bn,br,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,he,hi,hr,hu,hy,id,is,it,ja,jv,ka,kk,km,kn,ko,ku,ky,la,lo,lt,lv,mg,mk,ml,mn,mr,ms,my,ne,nl,no,om,or,pa,pl,ps,pt,ro,ru,sa,sd,si,sk,sl,so,sq,sr,su,sv,sw,ta,te,th,tl,tr,ug,uk,ur,uz,vi,xh,yi,zh,arxiv:2402.05672,arxiv:2108.08787,arxiv:2104.08663,arxiv:2210.07316,license:mit,model-index,eval-results,text-embeddings-inference,endpoints_compatible,region:us",无,tmp/,无,无,无,无,无,bert-base-uncased,无,tmp/,False,False,[],主配置文件,success,
facebook/esmfold_v1,未知,3883802,48,未知,transformers,未知,"transformers,pytorch,esm,license:mit,endpoints_compatible,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
autogluon/chronos-bolt-base,未知,3794369,35,未知,未知,time-series-forecasting,"safetensors,t5,time series,forecasting,pretrained models,foundation models,time series foundation models,time-series,time-series-forecasting,arxiv:1910.10683,arxiv:2403.07815,license:apache-2.0,region:us",无,autogluon/chronos-bolt-base,无,无,无,无,无,t5-base,无,autogluon/chronos-bolt-base,True,False,[],主配置文件,success,
moonshotai/Kimi-K2.5,未知,3717551,2355,未知,transformers,image-text-to-text,"transformers,safetensors,kimi_k25,feature-extraction,compressed-tensors,image-text-to-text,conversational,custom_code,arxiv:2602.02276,license:other,eval-results,region:us",无,无,无,无,无,无,无,无,无,多模态内部组件,False,True,[],多模态配置识别,success,
Qwen/Qwen3.5-9B,未知,3583712,1019,未知,transformers,image-text-to-text,"transformers,safetensors,qwen3_5,image-text-to-text,conversational,base_model:Qwen/Qwen3.5-9B-Base,base_model:finetune:Qwen/Qwen3.5-9B-Base,license:apache-2.0,eval-results,endpoints_compatible,deploy:azure,region:us",Qwen/Qwen3.5-9B-Base,无,无,无,无,Qwen/Qwen3.5-9B-Base,Qwen/Qwen-7B,无,无,Qwen/Qwen3.5-9B-Base,True,True,[],模型卡片显式标注,success,
meta-llama/Meta-Llama-3-8B,未知,3562763,6490,未知,transformers,text-generation,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,en,license:llama3,text-generation-inference,endpoints_compatible,region:us",无,无,无,无,无,无,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-hf,无,meta-llama/Llama-2-7b-hf,True,False,[],模型ID语义解析,success,
zai-org/GLM-OCR,未知,3549168,1461,未知,transformers,image-to-text,"transformers,safetensors,glm_ocr,image-text-to-text,image-to-text,zh,en,fr,es,ru,de,ja,ko,arxiv:2603.10910,license:mit,eval-results,endpoints_compatible,region:us",无,无,无,无,无,无,无,无,无,多模态内部组件,False,True,[],多模态配置识别,success,
microsoft/TRELLIS-image-large,未知,3523576,630,未知,trellis,image-to-3d,"trellis,image-to-3d,en,arxiv:2412.01506,license:mit,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
facebook/bart-large-mnli,未知,3482301,1549,未知,transformers,zero-shot-classification,"transformers,pytorch,jax,rust,safetensors,bart,text-classification,zero-shot-classification,dataset:multi_nli,arxiv:1910.13461,arxiv:1909.00161,license:mit,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,facebook/bart-base,facebook/bart-base,无,facebook/bart-base,True,False,['multi_nli'],模型ID语义解析,success,
