model_id,downloads,library_name,tags,base_from_card,base_from_config,base_from_id,base_from_type,base_from_multi,base_model_final,is_multimodal,dataset_deps,status
sentence-transformers/all-MiniLM-L6-v2,206994378,sentence-transformers,"sentence-transformers,pytorch,tf,rust,onnx,safetensors,openvino,bert,feature-extraction,sentence-similarity,transformers,en,dataset:s2orc,dataset:flax-sentence-embeddings/stackexchange_xml,dataset:ms_marco,dataset:gooaq,dataset:yahoo_answers_topics,dataset:code_search_net,dataset:search_qa,dataset:eli5,dataset:snli,dataset:multi_nli,dataset:wikihow,dataset:natural_questions,dataset:trivia_qa,dataset:embedding-data/sentence-compression,dataset:embedding-data/flickr30k-captions,dataset:embedding-data/altlex,dataset:embedding-data/simple-wiki,dataset:embedding-data/QQP,dataset:embedding-data/SPECTER,dataset:embedding-data/PAQ_pairs,dataset:embedding-data/WikiAnswers,arxiv:1904.06472,arxiv:2102.07033,arxiv:2104.08727,arxiv:1704.05179,arxiv:1810.09305,license:apache-2.0,eval-results,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us",无,无,无,bert-base-uncased,无,bert-base-uncased,False,"['s2orc', 'flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'code_search_net', 'search_qa', 'eli5', 'snli', 'multi_nli', 'wikihow', 'natural_questions', 'trivia_qa', 'embedding-data/sentence-compression', 'embedding-data/flickr30k-captions', 'embedding-data/altlex', 'embedding-data/simple-wiki', 'embedding-data/QQP', 'embedding-data/SPECTER', 'embedding-data/PAQ_pairs', 'embedding-data/WikiAnswers']",ok
google-bert/bert-base-uncased,72315930,transformers,"transformers,pytorch,tf,jax,rust,coreml,onnx,safetensors,bert,fill-mask,exbert,en,dataset:bookcorpus,dataset:wikipedia,arxiv:1810.04805,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,无,bert-base-uncased,bert-base-uncased,无,bert-base-uncased,False,"['bookcorpus', 'wikipedia']",ok
google/electra-base-discriminator,50904691,transformers,"transformers,pytorch,tf,jax,rust,electra,pretraining,en,arxiv:1406.2661,license:apache-2.0,endpoints_compatible,region:us",无,无,无,无,无,基座模型,False,[],ok
Falconsai/nsfw_image_detection,41155377,transformers,"transformers,pytorch,safetensors,vit,image-classification,arxiv:2010.11929,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,无,无,google/vit-base-patch16-224,无,google/vit-base-patch16-224,False,[],ok
sentence-transformers/all-mpnet-base-v2,28344265,sentence-transformers,"sentence-transformers,pytorch,onnx,safetensors,openvino,mpnet,fill-mask,feature-extraction,sentence-similarity,transformers,text-embeddings-inference,en,dataset:s2orc,dataset:flax-sentence-embeddings/stackexchange_xml,dataset:ms_marco,dataset:gooaq,dataset:yahoo_answers_topics,dataset:code_search_net,dataset:search_qa,dataset:eli5,dataset:snli,dataset:multi_nli,dataset:wikihow,dataset:natural_questions,dataset:trivia_qa,dataset:embedding-data/sentence-compression,dataset:embedding-data/flickr30k-captions,dataset:embedding-data/altlex,dataset:embedding-data/simple-wiki,dataset:embedding-data/QQP,dataset:embedding-data/SPECTER,dataset:embedding-data/PAQ_pairs,dataset:embedding-data/WikiAnswers,arxiv:1904.06472,arxiv:2102.07033,arxiv:2104.08727,arxiv:1704.05179,arxiv:1810.09305,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,基座模型,False,"['s2orc', 'flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'code_search_net', 'search_qa', 'eli5', 'snli', 'multi_nli', 'wikihow', 'natural_questions', 'trivia_qa', 'embedding-data/sentence-compression', 'embedding-data/flickr30k-captions', 'embedding-data/altlex', 'embedding-data/simple-wiki', 'embedding-data/QQP', 'embedding-data/SPECTER', 'embedding-data/PAQ_pairs', 'embedding-data/WikiAnswers']",ok
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,26182211,sentence-transformers,"sentence-transformers,pytorch,tf,onnx,safetensors,openvino,bert,feature-extraction,sentence-similarity,transformers,multilingual,ar,bg,ca,cs,da,de,el,en,es,et,fa,fi,fr,gl,gu,he,hi,hr,hu,hy,id,it,ja,ka,ko,ku,lt,lv,mk,mn,mr,ms,my,nb,nl,pl,pt,ro,ru,sk,sl,sq,sr,sv,th,tr,uk,ur,vi,arxiv:1908.10084,license:apache-2.0,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us",无,无,无,bert-base-uncased,无,bert-base-uncased,False,[],ok
laion/clap-htsat-fused,26054290,transformers,"transformers,pytorch,safetensors,clap,feature-extraction,zero-shot audio classification,zero-shot audio retrieval,audio-classification,en,arxiv:2211.06687,license:apache-2.0,endpoints_compatible,region:us",无,无,无,无,多模态内部组件,多模态内部组件,True,[],ok
openai/clip-vit-large-patch14,22482658,transformers,"transformers,pytorch,tf,jax,safetensors,clip,zero-shot-image-classification,vision,arxiv:2103.00020,arxiv:1908.04913,endpoints_compatible,region:us",无,无,无,openai/clip-vit-base-patch32,多模态内部组件,openai/clip-vit-base-patch32,True,[],ok
timm/mobilenetv3_small_100.lamb_in1k,21095652,timm,"timm,pytorch,safetensors,image-classification,transformers,dataset:imagenet-1k,arxiv:2110.00476,arxiv:1905.02244,license:apache-2.0,region:us",无,无,无,无,无,基座模型,False,['imagenet-1k'],ok
FacebookAI/xlm-roberta-base,20575069,transformers,"transformers,pytorch,tf,jax,onnx,safetensors,xlm-roberta,fill-mask,exbert,multilingual,af,am,ar,as,az,be,bg,bn,br,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,he,hi,hr,hu,hy,id,is,it,ja,jv,ka,kk,km,kn,ko,ku,ky,la,lo,lt,lv,mg,mk,ml,mn,mr,ms,my,ne,nl,no,om,or,pa,pl,ps,pt,ro,ru,sa,sd,si,sk,sl,so,sq,sr,su,sv,sw,ta,te,th,tl,tr,ug,uk,ur,uz,vi,xh,yi,zh,arxiv:1911.02116,license:mit,endpoints_compatible,deploy:azure,region:us",无,无,roberta-base,无,无,roberta-base,False,[],ok
openai/clip-vit-base-patch32,20300278,transformers,"transformers,pytorch,tf,jax,clip,zero-shot-image-classification,vision,arxiv:2103.00020,arxiv:1908.04913,endpoints_compatible,region:us",无,无,无,openai/clip-vit-base-patch32,多模态内部组件,openai/clip-vit-base-patch32,True,[],ok
Qwen/Qwen2.5-7B-Instruct,19626645,transformers,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-7B,base_model:finetune:Qwen/Qwen2.5-7B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",Qwen/Qwen2.5-7B,无,qwen/Qwen-qwen2.57b,Qwen/Qwen2-7B,无,Qwen/Qwen2.5-7B,False,[],ok
Bingsu/adetailer,18758645,ultralytics,"ultralytics,pytorch,dataset:wider_face,dataset:skytnt/anime-segmentation,doi:10.57967/hf/3633,license:apache-2.0,region:us",无,无,无,无,无,基座模型,False,"['wider_face', 'skytnt/anime-segmentation']",ok
FacebookAI/roberta-large,18705267,transformers,"transformers,pytorch,tf,jax,onnx,safetensors,roberta,fill-mask,exbert,en,dataset:bookcorpus,dataset:wikipedia,arxiv:1907.11692,arxiv:1806.02847,license:mit,endpoints_compatible,deploy:azure,region:us",无,无,无,roberta-base,无,roberta-base,False,"['bookcorpus', 'wikipedia']",ok
BAAI/bge-m3,15614645,sentence-transformers,"sentence-transformers,pytorch,onnx,xlm-roberta,feature-extraction,sentence-similarity,arxiv:2402.03216,arxiv:2004.04906,arxiv:2106.14807,arxiv:2107.05720,arxiv:2004.12832,license:mit,eval-results,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,基座模型,False,[],ok
cross-encoder/ms-marco-MiniLM-L6-v2,14309926,sentence-transformers,"sentence-transformers,pytorch,jax,onnx,safetensors,openvino,bert,text-classification,transformers,text-ranking,en,dataset:sentence-transformers/msmarco,base_model:cross-encoder/ms-marco-MiniLM-L12-v2,base_model:quantized:cross-encoder/ms-marco-MiniLM-L12-v2,license:apache-2.0,text-embeddings-inference,endpoints_compatible,region:us",['cross-encoder/ms-marco-MiniLM-L12-v2'],无,无,bert-base-uncased,无,['cross-encoder/ms-marco-MiniLM-L12-v2'],False,['sentence-transformers/msmarco'],ok
FacebookAI/roberta-base,14258535,transformers,"transformers,pytorch,tf,jax,rust,safetensors,roberta,fill-mask,exbert,en,dataset:bookcorpus,dataset:wikipedia,arxiv:1907.11692,arxiv:1806.02847,license:mit,endpoints_compatible,deploy:azure,region:us",无,无,roberta-base,roberta-base,无,roberta-base,False,"['bookcorpus', 'wikipedia']",ok
Qwen/Qwen3-0.6B,13820887,transformers,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2505.09388,base_model:Qwen/Qwen3-0.6B-Base,base_model:finetune:Qwen/Qwen3-0.6B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",['Qwen/Qwen3-0.6B-Base'],无,qwen/Qwen-qwen30.6b,无,无,['Qwen/Qwen3-0.6B-Base'],False,[],ok
pyannote/wespeaker-voxceleb-resnet34-LM,13538198,pyannote-audio,"pyannote-audio,pytorch,pyannote,pyannote-audio-model,wespeaker,audio,voice,speech,speaker,speaker-recognition,speaker-verification,speaker-identification,speaker-embedding,dataset:voxceleb,license:cc-by-4.0,region:us",无,无,无,无,无,基座模型,False,['voxceleb'],ok
amazon/chronos-2,13261329,chronos-forecasting,"chronos-forecasting,safetensors,t5,time series,forecasting,foundation models,pretrained models,time-series-forecasting,dataset:autogluon/chronos_datasets,dataset:Salesforce/GiftEvalPretrain,arxiv:2403.07815,arxiv:2510.15821,license:apache-2.0,region:us",无,无,无,t5-base,无,t5-base,False,"['autogluon/chronos_datasets', 'Salesforce/GiftEvalPretrain']",ok
